University	Research Area	Domain
Academy of Military Science	Aeronautical and astronautical science and technology	
Aero Engine Corporation of China	Aeronautical and astronautical science and technology	aecc.cn
Air Force Command College	Aeronautical and astronautical science and technology	
Air Force Engineering University	Aeronautical and astronautical science and technology	afeu.cn
Air Force Flight Academy Shijiazhuang	Aeronautical and astronautical science and technology	
Air Force Harbin Flight Academy	Aeronautical and astronautical science and technology	
Air Force Logistics University	Aeronautical and astronautical science and technology	
Air Force Research Institute	Aeronautical and astronautical science and technology	
Air Force Xi’an Flight Academy	Aeronautical and astronautical science and technology	
Army Aviation College	Aeronautical and astronautical science and technology	
Aviation Industry Corporation of China	Aeronautical and astronautical science and technology	avic.com
Aviation University of Air Force	Aeronautical and astronautical science and technology	
Beihang University	Aeronautical and astronautical science and technology	buaa.edu.cn
Central South University	Aeronautical and astronautical science and technology	csu.edu.cn
China Aerodynamics Research and Development Center	Aeronautical and astronautical science and technology	cardc.cn
China Aerospace Science and Industry Corporation	Aeronautical and astronautical science and technology	casic.cn
China Aerospace Science and Technology Corporation	Aeronautical and astronautical science and technology	spacechina.com
Chinese Academy of Engineering Physics	Aeronautical and astronautical science and technology	caep.cn
Commercial Aircraft Corporation of China	Aeronautical and astronautical science and technology	comac.cc
Harbin Institute of Technology	Aeronautical and astronautical science and technology	hit.edu.cn
Nanjing University of Aeronautics and Astronautics	Aeronautical and astronautical science and technology	nuaa.edu.cn
National University of Defense Technology	Aeronautical and astronautical science and technology	nudt.edu.cn
Navy Aviation University	Aeronautical and astronautical science and technology	
North China Institute of Aerospace Engineering	Aeronautical and astronautical science and technology	nciae.edu.cn
Northwestern Polytechnical University	Aeronautical and astronautical science and technology	nwpu.edu.cn
Peking University	Aeronautical and astronautical science and technology	pku.edu.cn
Rocket Force Research Institute	Aeronautical and astronautical science and technology	
Rocket Force University of Engineering	Aeronautical and astronautical science and technology	
Shanghai Jiao Tong University	Aeronautical and astronautical science and technology	sjtu.edu.cn
Shenyang Aerospace University	Aeronautical and astronautical science and technology	sau.edu.cn
Space Engineering University	Aeronautical and astronautical science and technology	
Xi’an Jiaotong University	Aeronautical and astronautical science and technology	xjtu.edu.cn
Zhejiang University	Aeronautical and astronautical science and technology	zju.edu.cn
Air Force Engineering University	Armament science and technology	afeu.cn
Army Academy of Armored Forces	Armament science and technology	
Army Academy of Artillery and Air Defense	Armament science and technology	
Army Engineering University	Armament science and technology	
Army Infantry Academy	Armament science and technology	
Army Military Transportation Academy	Armament science and technology	
Aviation Industry Corporation of China	Armament science and technology	avic.com
Beijing Institute of Technology	Armament science and technology	bit.edu.cn
China Aerospace Science and Industry Corporation	Armament science and technology	casic.cn
China Aerospace Science and Technology Corporation	Armament science and technology	spacechina.com
China North Industries Group	Armament science and technology	norincogroup.com.cn
China Shipbuilding Industry Corporation	Armament science and technology	csic.com.cn
China South Industries Group	Armament science and technology	chinasouth.com.cn
Chinese Academy of Engineering Physics	Armament science and technology	caep.cn
Dalian Naval Academy	Armament science and technology	dlut.edu.cn
Engineering University of the CAPF	Armament science and technology	
Harbin Engineering University	Armament science and technology	hrbeu.edu.cn
Hunan University of Science and Technology	Armament science and technology	hnust.cn
Jilin University	Armament science and technology	jlu.edu.cn
Nanjing Tech University	Armament science and technology	njtech.edu.cn
Nanjing University of Science and Technology	Armament science and technology	njust.edu.cn
National University of Defense Technology	Armament science and technology	nudt.edu.cn
Naval Command College	Armament science and technology	
Naval University of Engineering	Armament science and technology	
Navy Aviation University	Armament science and technology	
Navy Submarine Academy	Armament science and technology	
North University of China	Armament science and technology	nuc.edu.cn
Rocket Force Research Institute	Armament science and technology	
Rocket Force Sergeant School	Armament science and technology	
Rocket Force University of Engineering	Armament science and technology	
Shenyang Ligong University	Armament science and technology	
Southwest University of Science and Technology	Armament science and technology	swust.edu.cn
Space Engineering University	Armament science and technology	
Special Police Academy	Armament science and technology	
Tsinghua University	Armament science and technology	tsinghua.edu.cn
Xi’an Technological University	Armament science and technology	
Academy of Military Science	Artificial intelligence	
Beijing University of Chemical Technology	Artificial intelligence	buct.edu.cn
Changchun University of Science and Technology	Artificial intelligence	cust.edu.cn
China Electronics Corporation	Artificial intelligence	cec.com.cn
Dalian Minzu University	Artificial intelligence	dlnu.edu.cn
Engineering University of the CAPF	Artificial intelligence	
Hangzhou Dianzi University	Artificial intelligence	hdu.edu.cn
Hangzhou Normal University	Artificial intelligence	hznu.edu.cn
Harbin Engineering University	Artificial intelligence	hrbeu.edu.cn
Huazhong University of Science and Technology	Artificial intelligence	hust.edu.cn
Nanjing University	Artificial intelligence	nju.edu.cn
National University of Defense Technology	Artificial intelligence	nudt.edu.cn
Navy Submarine Academy	Artificial intelligence	
People’s Armed Police Command College	Artificial intelligence	
People’s Public Security University of China	Artificial intelligence	ppsuc.edu.cn
Shenzhen University	Artificial intelligence	
Sichuan University	Artificial intelligence	scu.edu.cn
Tsinghua University	Artificial intelligence	tsinghua.edu.cn
Xi’an University of Posts and Telecommunications	Artificial intelligence	
Air Force Medical University	Biology	
Army Medical University	Biology	
Institute of NBC Defense	Biology	
Navy Medical University	Biology	
Northwestern Polytechnical University	Biology	nwpu.edu.cn
Academy of Military Science	Biomedical engineering	
Air Force Medical University	Biomedical engineering	
Beihang University	Biomedical engineering	buaa.edu.cn
Navy Medical University	Biomedical engineering	
Academy of Military Science	Chemistry	
East China University of Technology	Chemistry	ecut.edu.cn
Institute of NBC Defense	Chemistry	
Lanzhou University	Chemistry	lzu.edu.cn
Nanjing Tech University	Chemistry	njtech.edu.cn
Northwest Institute of Nuclear Technology	Chemistry	
Peking University	Chemistry	pku.edu.cn
Tianjin University	Chemistry	tju.edu.cn
Beihang University	Computer science and technology	buaa.edu.cn
Beijing University of Posts and Telecommunications	Computer science and technology	bupt.edu.cn
China Aerodynamics Research and Development Center	Computer science and technology	cardc.cn
China Electronics Technology Group Corporation	Computer science and technology	cetc.com.cn
China North Industries Group	Computer science and technology	norincogroup.com.cn
Chinese Academy of Engineering Physics	Computer science and technology	caep.cn
Engineering University of the CAPF	Computer science and technology	
Hangzhou Dianzi University	Computer science and technology	hdu.edu.cn
Harbin Institute of Technology	Computer science and technology	hit.edu.cn
Hunan University	Computer science and technology	hnu.edu.cn
Information Engineering University	Computer science and technology	plaieu.edu.cn
Jilin University	Computer science and technology	jlu.edu.cn
Nanjing Institute of Information Technology	Computer science and technology	
National University of Defense Technology	Computer science and technology	nudt.edu.cn
North China Institute of Aerospace Engineering	Computer science and technology	nciae.edu.cn
Rocket Force University of Engineering	Computer science and technology	
Shenyang Aerospace University	Computer science and technology	sau.edu.cn
Shijiazhuang Tiedao University	Computer science and technology	stdu.edu.cn
Sun Yat-sen University	Computer science and technology	sysu.edu.cn
Wuhan University	Computer science and technology	whu.edu.cn
Wuhan University of Technology	Computer science and technology	whut.edu.cn
Xi’an Jiaotong University	Computer science and technology	xjtu.edu.cn
Xidian University	Computer science and technology	xidian.edu.cn
Yunnan Normal University	Computer science and technology	ynnu.edu.cn
Zhejiang University	Computer science and technology	zju.edu.cn
Academy of Military Science	Control science and engineering	
Air Force Command College	Control science and engineering	
Air Force Communication NCO Academy	Control science and engineering	
Air Force Early Warning Academy	Control science and engineering	
Air Force Engineering University	Control science and engineering	afeu.cn
Air Force Research Institute	Control science and engineering	
Army Academy of Armored Forces	Control science and engineering	
Army Academy of Artillery and Air Defense	Control science and engineering	
Army Academy of Border and Coastal Defense	Control science and engineering	
Army Engineering University	Control science and engineering	
Army Military Transportation Academy	Control science and engineering	
Army Research Institute	Control science and engineering	
Beihang University	Control science and engineering	buaa.edu.cn
Beijing Institute of Technology	Control science and engineering	bit.edu.cn
Beijing University of Chemical Technology	Control science and engineering	buct.edu.cn
Beijing University of Posts and Telecommunications	Control science and engineering	bupt.edu.cn
Central South University	Control science and engineering	csu.edu.cn
China Aerospace Science and Industry Corporation	Control science and engineering	casic.cn
China Aerospace Science and Technology Corporation	Control science and engineering	spacechina.com
